城市,维度,经度,开始时间,休息时间,hasArtwork,门店名,门店号,邮编
南通市,32.049273,120.861051,7:30:00,22:00:00,False,南通万科广场店,27989-249440,226000.0
南通市,32.049037,120.85978999999999,8:00:00,22:00:00,False,南通万象城1F店,56738-290676,226100.0
南通市,32.050589,120.859769,10:00:00,22:00:00,False,南通万象城5F店,55476-289357,226000.0
南通市,32.037128,120.83410900000001,7:30:00,22:00:00,False,南通万达广场店,27991-249438,226000.0
南通市,31.809301,121.65761100000002,7:30:00,22:00:00,False,启东环球大厦店,17785-183609,226000.0
南通市,31.810318,121.65836999999999,8:00:00,22:00:00,False,南通启东文峰大世界店,49971-272128,226000.0
南通市,31.787884000000002,121.661827,8:00:00,22:00:00,False,南通启东吾悦广场店,56432-289355,226000.0
南通市,31.804884,121.66876599999999,7:30:00,22:00:00,False,启东东方维也纳店,18075-183608,226000.0
南通市,32.311917,121.18473700000001,7:30:00,22:00:00,False,南通如东文峰大世界店,49404-268987,226000.0
苏州市,31.666764,120.776196,7:30:00,22:30:00,False,苏州常熟星光天地店,27331-247262,215000.0
苏州市,31.459974,121.13926000000001,7:30:00,22:00:00,False,太仓万达广场店,18526-187327,215000.0
苏州市,31.671125,120.754566,6:30:00,22:30:00,False,常熟美城广场店,20916-208748,215000.0
苏州市,31.450801000000002,121.12534299999999,6:30:00,21:30:00,False,苏州太仓五洋广场店,49258-267909,215000.0
苏州市,31.649148999999998,120.757958,8:00:00,22:30:00,False,常熟西蒙印象城店,32702-134930,215000.0
苏州市,31.685187,120.73214899999999,8:00:00,22:00:00,False,苏州常熟万达广场店,51661-278864,215000.0
苏州市,31.643552000000003,120.757015,7:30:00,22:00:00,False,常熟华地店,18168-188304,215000.0
苏州市,31.446095,121.108543,7:00:00,22:00:00,False,太仓华旭财富中心店,15377-160113,215000.0
苏州市,31.644833000000002,120.74744799999999,8:00:00,21:00:00,False,苏州常熟方塔街店,48862-265746,215000.0
苏州市,31.598887,120.78716499999999,7:00:00,22:00:00,False,苏州常熟东南邻里中心店,48872-265748,215000.0
苏州市,31.651206,120.740178,8:00:00,22:00:00,False,常熟虞景文华店,22930-226246,215000.0
苏州市,31.435924,121.122905,7:30:00,22:00:00,False,太仓海运堤店,24618-238347,215000.0
苏州市,31.600379999999998,120.778074,10:00:00,22:00:00,False,苏州常熟永旺店,59418-293679,215000.0
苏州市,31.62967,120.746738,7:30:00,22:00:00,False,常熟捞品城店,22631-222505,215000.0
苏州市,31.96032,120.638597,8:00:00,22:00:00,False,苏州张家港五月花广场店,55789-289624,215000.0
上海市,31.397640999999997,121.24791100000002,7:00:00,22:00:00,False,上海嘉定信业购物中心,59766-294108,200000.0
上海市,31.390531,121.23740500000001,7:00:00,22:00:00,False,嘉定日月光店,48772-265078,200000.0
上海市,31.402251,121.350569,7:00:00,22:00:00,False,美兰湖店,24211-225265,200000.0
上海市,31.384432,121.245575,7:00:00,22:00:00,False,嘉定罗宾森店,31690-101042,200000.0
苏州市,31.412294,120.99263,7:30:00,22:30:00,False,苏州昆山万达广场店,51477-278393,215000.0
上海市,31.383685999999997,121.25616699999999,7:00:00,22:00:00,False,嘉定疁城国际店,19928-203185,200000.0
上海市,31.385133000000003,121.27878899999999,7:00:00,22:00:00,False,嘉定百联店,47545-258565,200000.0
上海市,31.390458000000002,121.33635500000001,7:00:00,22:00:00,False,宝山U天地店,58042-292160,200000.0
上海市,31.388153999999997,121.358281,7:00:00,22:00:00,False,宝山宝龙广场店,28421-250424,200000.0
苏州市,31.403156,120.979262,7:30:00,21:00:00,False,苏州昆山中楠都汇广场店,28952-247285,215000.0
苏州市,31.383505,121.05173500000001,6:30:00,22:00:00,False,昆山世茂广场店,23547-231005,215000.0
苏州市,31.397952000000004,120.983057,8:30:00,18:30:00,False,苏州昆山春晖路店,49872-271627,215000.0
苏州市,31.405121,120.956595,7:00:00,22:30:00,False,苏州昆山九方城店,26384-223007,215000.0
苏州市,31.870281,120.57501200000002,8:00:00,22:00:00,False,苏州张家港万达广场店,57424-291537,215000.0
上海市,31.357155,121.2587,7:00:00,22:00:00,False,嘉定西云楼店,55250-289108,200000.0
苏州市,31.379264000000003,120.99665800000001,7:00:00,20:00:00,False,苏州昆山一院友谊分院店,54987-288783,215000.0
上海市,31.353146000000002,121.26050500000001,7:00:00,22:00:00,False,嘉定台北风情街店,27987-249465,200000.0
苏州市,31.885832,120.55903500000001,8:30:00,21:00:00,False,苏州张家港沙洲湖步行街,54066-286312,215000.0
苏州市,31.381090000000004,120.98201,7:00:00,21:00:00,False,昆山中央公园店,35033-93416,215000.0
苏州市,31.412628,120.897072,8:00:00,21:00:00,False,苏州昆山大渔商业广场店,53842-286073,215000.0
上海市,31.346830999999998,121.26087199999999,7:00:00,22:00:00,False,嘉定宝龙商业广场店,49160-267364,200000.0
苏州市,31.387625,120.94728,8:00:00,20:00:00,False,苏州昆山亭林公园店,53841-286075,215000.0
上海市,31.362496000000004,121.368503,7:00:00,20:00:00,False,菊盛路店,27207-246825,200000.0
苏州市,31.382263000000002,120.95738600000001,6:30:00,22:30:00,False,昆山人民路店,31123-104243,215000.0
上海市,31.360231,121.36246200000001,7:00:00,22:00:00,False,龙湖宝山天街店,53031-283986,201907.0
苏州市,31.87752,120.549628,7:00:00,22:00:00,False,苏州张家港国贸酒店店,47418-258224,215000.0
上海市,31.399110999999998,121.485674,7:00:00,22:00:00,False,宝乐汇店,25485-226668,200000.0
苏州市,31.376233000000003,120.97358200000001,7:00:00,22:00:00,False,昆山金鹰店,23442-230166,215000.0
上海市,31.409128000000003,121.50866299999998,8:00:00,16:00:00,False,吴淞口国际邮轮港店,26612-244746,200000.0
苏州市,31.376026,120.972587,7:30:00,18:30:00,False,苏州昆山金鹰尚美酒店店,52802-283164,215000.0
苏州市,31.382092,120.954205,8:00:00,20:00:00,False,昆山百盛店,16076-166324,215000.0
苏州市,31.865610999999998,120.549297,7:30:00,22:00:00,False,苏州张家港杨舍老街店,52114-280385,215000.0
苏州市,31.378190999999998,120.964184,9:00:00,21:00:00,False,苏州昆山巴黎春天店,47419-258206,215000.0
苏州市,31.861296999999997,120.54706100000001,7:30:00,21:30:00,False,张家港谷渎港店,18882-196426,215000.0
苏州市,31.860523999999998,120.546595,8:00:00,22:00:00,False,张家港曼巴特广场店,23548-231065,215000.0
上海市,31.395937,121.490886,7:00:00,22:00:00,False,宝山体育馆店,53958-286209,200000.0
上海市,31.392876,121.489021,7:00:00,22:00:00,False,宝山安信店,32516-136573,200000.0
苏州市,31.379513,120.94141,7:30:00,22:00:00,False,苏州昆山超华欧尚店,53839-286072,215000.0
苏州市,31.373726,120.95770900000001,6:30:00,21:30:00,False,昆山三角塔店,18986-189905,215000.0
